fi1 b1 u1 fi2 b2 u2
0 0,0 10,3 180 0,0 4,0
10 12,2 24,2 190 -12,2 -12,0
20 23,9 42,2 200 -23,9 -32,9
30 35,0 60,7 210 -35,0 -53,1
40 45,0 74,9 220 -45,0 -68,6
50 53,6 90,8 230 -53,6 -87,4
60 60,6 99,9 240 -60,6 -99,4
70 65,8 107,4 250 -65,8 -106,4
80 68,9 112,1 260 -68,9 -112,1
90 70,0 114,8 270 -70,0 -113,2
100 68,9 113,5 280 -68,9 -111,0
110 65,8 109,6 290 -65,8 -105,0
120 60,6 102,2 300 -60,6 -96,5
130 53,6 92,7 310 -53,6 -84,5
140 45,0 78,7 320 -45,0 -71,8 
150 35,0 63,8 330 -35,0 -53,4
160 23,9 43,4 340 -23,9 -33,6
170 12,2 28,2 380 -12,2 -9,9
